12.72; 13.90; 15.09; 16.27; 17.46; 21.00; 24.54; 28.08; 31.62; 35.16; 38.70; 42.25; 42.25
21.27; 24.06; 26.84; 29.61; 32.41; 38.70; 44.99; 51.28; 57.57; 63.86; 70.13; 76.44; 76.44
23.40; 29.16; 34.91; 40.67; 46.43; 54.00; 61.56; 69.11; 76.68; 84.24; 91.79; 99.36; 99.36
25.03; 31.92; 38.79; 45.69; 52.58; 62.54; 72.48; 82.47; 92.41; 102.39; 112.34; 122.31; 122.31
26.66; 34.76; 42.86; 50.95; 59.06; 71.38; 83.68; 95.99; 108.31; 120.62; 132.92; 145.25; 145.25
28.27; 37.54; 46.83; 56.10; 65.38; 80.06; 94.75; 109.42; 124.10; 138.80; 153.48; 168.16; 168.16
29.53; 40.77; 51.99; 63.24; 74.48; 91.13; 107.80; 124.45; 141.12; 157.78; 174.44; 191.08; 191.08
